Date,Open,High,Low,Close,Adj Close,Volume
2022-04-25,7.650000,8.040000,7.570000,7.930000,7.930000,3788200
2022-04-26,7.800000,7.940000,7.450000,7.480000,7.480000,3133800
2022-04-27,7.430000,7.990000,7.390000,7.560000,7.560000,3361500
2022-04-28,7.620000,7.890000,7.080000,7.770000,7.770000,3871500
2022-04-29,7.680000,7.920000,7.125000,7.170000,7.170000,2794000
2022-05-02,7.100000,7.620000,7.010000,7.580000,7.580000,5012000
2022-05-03,7.450000,8.015000,7.370000,7.770000,7.770000,3372300
2022-05-04,7.810000,8.310000,7.510000,8.250000,8.250000,4205300
2022-05-05,8.110000,8.230000,7.410000,7.640000,7.640000,3258400
2022-05-06,7.810000,9.079000,7.440000,8.790000,8.790000,7418000
2022-05-09,8.500000,8.700000,7.330000,7.370000,7.370000,6253700
2022-05-10,7.860000,7.950000,6.591000,6.940000,6.940000,5219600
2022-05-11,6.805000,7.040000,6.300000,6.320000,6.320000,6162700
2022-05-12,6.150000,7.015000,5.720000,6.480000,6.480000,7528700
2022-05-13,6.660000,7.905000,6.660000,7.760000,7.760000,6486600
2022-05-16,7.760000,7.890000,7.200000,7.230000,7.230000,4072100
2022-05-17,7.430000,7.870000,7.230000,7.840000,7.840000,4586200
2022-05-18,7.710000,8.049000,7.330000,7.410000,7.410000,4496600
2022-05-19,7.360000,7.970000,7.360000,7.690000,7.690000,6127000
2022-05-20,7.860000,7.960000,7.150000,7.590000,7.590000,3816500
2022-05-23,7.670000,7.855000,7.205000,7.780000,7.780000,3486000
2022-05-24,7.570000,7.575000,6.830000,6.940000,6.940000,3782900
2022-05-25,6.960000,7.490000,6.802000,7.390000,7.390000,3552300
2022-05-26,7.400000,8.160000,7.330000,7.980000,7.980000,4355700
2022-05-27,8.090000,8.860000,8.080000,8.860000,8.860000,3869600
2022-05-31,9.080000,9.220000,8.530000,8.640000,8.640000,4644800
2022-06-01,8.620000,8.870000,7.950000,8.000000,8.000000,2927900
2022-06-02,8.030000,8.980000,7.850000,8.950000,8.950000,4472300
2022-06-03,8.580000,8.950000,8.390000,8.810000,8.810000,5460900
2022-06-06,9.560000,9.950000,8.950000,9.260000,9.260000,5635600
2022-06-07,9.030000,9.795000,8.970000,9.370000,9.370000,4692500
2022-06-08,9.290000,9.700000,9.100000,9.180000,9.180000,2715100
2022-06-09,9.100000,9.365000,8.750000,8.790000,8.790000,2374800
2022-06-10,8.650000,8.720000,8.090000,8.200000,8.200000,2580600
2022-06-13,7.670000,7.750000,6.990000,7.070000,7.070000,4290800
2022-06-14,7.100000,7.100000,6.450000,6.530000,6.530000,4047200
2022-06-15,6.620000,7.045000,6.420000,6.830000,6.830000,5753200
2022-06-16,6.490000,6.600000,6.070000,6.270000,6.270000,3899800
2022-06-17,6.310000,7.319000,6.270000,7.300000,7.300000,4262700
2022-06-21,7.560000,8.210000,7.480000,7.840000,7.840000,4306700
2022-06-22,7.490000,8.245000,7.480000,8.060000,8.060000,3052300
2022-06-23,8.010000,8.535000,7.815000,8.520000,8.520000,3993200
2022-06-24,8.670000,8.820000,8.285000,8.400000,8.400000,5682700
2022-06-27,8.420000,8.470000,7.735000,7.850000,7.850000,2852500
2022-06-28,7.870000,8.350000,7.480000,7.580000,7.580000,2873600
2022-06-29,7.430000,7.430000,6.780000,7.010000,7.010000,3549500
2022-06-30,6.870000,7.165000,6.650000,7.160000,7.160000,3033300
2022-07-01,7.170000,7.480000,6.960000,7.150000,7.150000,2228700
